Date,Organisme,Service,REPARTITION PAR ÂGE,,,"Total
 passages",Hospitalisés,UHCD,Transferts directs
,,,<1an,1 à 75 ans,>75ans,,,,
01/04/2013,670780212,SAU Ste Anne,1,45,4,50,0,8,0
02/04/2013,670780212,SAU Ste Anne,1,44,7,52,0,12,0
03/04/2013,670780212,SAU Ste Anne,0,34,6,40,0,10,0
04/04/2013,670780212,SAU Ste Anne,0,29,5,34,0,10,0
05/04/2013,670780212,SAU Ste Anne,0,29,2,31,0,8,0
06/04/2013,670780212,SAU Ste Anne,0,45,5,50,0,10,0
07/04/2013,670780212,SAU Ste Anne,2,44,3,49,0,10,0
08/04/2013,670780212,SAU Ste Anne,0,38,4,42,0,9,0
09/04/2013,670780212,SAU Ste Anne,0,32,2,34,0,8,0
10/04/2013,670780212,SAU Ste Anne,0,40,9,49,0,9,0
11/04/2013,670780212,SAU Ste Anne,1,23,3,27,0,5,0
12/04/2013,670780212,SAU Ste Anne,0,34,6,40,0,10,0
13/04/2013,670780212,SAU Ste Anne,0,41,3,44,0,4,0
14/04/2013,670780212,SAU Ste Anne,1,40,2,43,0,4,0
15/04/2013,670780212,SAU Ste Anne,0,30,3,33,0,9,0
16/04/2013,670780212,SAU Ste Anne,0,37,4,41,0,4,0
17/04/2013,670780212,SAU Ste Anne,1,39,3,43,0,5,0
18/04/2013,670780212,SAU Ste Anne,0,27,3,30,0,3,0
19/04/2013,670780212,SAU Ste Anne,0,24,2,26,0,4,0
20/04/2013,670780212,SAU Ste Anne,0,37,4,41,0,7,0
21/04/2013,670780212,SAU Ste Anne,1,30,4,35,0,5,0
22/04/2013,670780212,SAU Ste Anne,0,32,8,40,0,6,0
23/04/2013,670780212,SAU Ste Anne,1,39,2,42,0,3,0
24/04/2013,670780212,SAU Ste Anne,0,22,2,24,0,4,0
25/04/2013,670780212,SAU Ste Anne,0,31,3,34,0,9,0
26/04/2013,670780212,SAU Ste Anne,0,32,2,34,0,7,0
27/04/2013,670780212,SAU Ste Anne,0,30,4,34,0,7,0
28/04/2013,670780212,SAU Ste Anne,0,25,0,25,0,6,0
29/04/2013,670780212,SAU Ste Anne,0,23,4,27,0,7,0
30/04/2013,670780212,SAU Ste Anne,0,27,2,29,0,3,0
