Date,Organisme,Service,REPARTITION PAR ÂGE,,,"Total
 passages",Hospitalisés,UHCD,Transferts directs
,,,<1an,1 à 75 ans,>75ans,,,,
01/11/2013,670780212,SAU Ste Anne,2,23,2,27,0,4,1
02/11/2013,670780212,SAU Ste Anne,2,45,5,52,0,5,2
03/11/2013,670780212,SAU Ste Anne,1,42,4,47,0,5,2
04/11/2013,670780212,SAU Ste Anne,1,33,11,45,0,6,2
05/11/2013,670780212,SAU Ste Anne,0,28,5,33,0,5,0
06/11/2013,670780212,SAU Ste Anne,0,35,5,40,0,5,0
07/11/2013,670780212,SAU Ste Anne,1,24,9,34,0,6,2
08/11/2013,670780212,SAU Ste Anne,2,28,5,35,0,9,2
09/11/2013,670780212,SAU Ste Anne,0,42,9,51,0,7,3
10/11/2013,670780212,SAU Ste Anne,0,45,2,47,0,3,2
11/11/2013,670780212,SAU Ste Anne,1,38,1,40,0,4,0
12/11/2013,670780212,SAU Ste Anne,0,29,3,32,0,3,1
13/11/2013,670780212,SAU Ste Anne,1,36,8,45,0,8,0
14/11/2013,670780212,SAU Ste Anne,2,29,4,35,0,4,0
15/11/2013,670780212,SAU Ste Anne,2,48,5,55,0,6,3
16/11/2013,670780212,SAU Ste Anne,1,32,5,38,0,6,3
17/11/2013,670780212,SAU Ste Anne,0,46,4,50,0,1,2
18/11/2013,670780212,SAU Ste Anne,0,29,3,32,0,6,1
19/11/2013,670780212,SAU Ste Anne,0,40,7,47,0,8,2
20/11/2013,670780212,SAU Ste Anne,0,37,3,40,0,5,4
21/11/2013,670780212,SAU Ste Anne,0,38,4,42,0,4,1
22/11/2013,670780212,SAU Ste Anne,0,40,6,46,0,4,2
23/11/2013,670780212,SAU Ste Anne,2,41,3,46,0,7,2
24/11/2013,670780212,SAU Ste Anne,2,45,4,51,0,10,0
25/11/2013,670780212,SAU Ste Anne,0,46,2,48,0,6,1
26/11/2013,670780212,SAU Ste Anne,2,41,6,49,0,9,1
27/11/2013,670780212,SAU Ste Anne,1,31,0,32,0,0,1
28/11/2013,670780212,SAU Ste Anne,1,35,2,38,0,7,0
29/11/2013,670780212,SAU Ste Anne,1,39,5,45,0,6,1
30/11/2013,670780212,SAU Ste Anne,3,37,3,43,0,2,1
